model,role,rq,condition,n,em,em_ci_low,em_ci_high,macro_field_acc,macro_field_acc_ci_low,macro_field_acc_ci_high,valid_rate,valid_rate_ci_low,valid_rate_ci_high,unsafe_rate,unsafe_rate_ci_low,unsafe_rate_ci_high,spurious_rate,spurious_rate_ci_low,spurious_rate_ci_high,missed_rate,missed_rate_ci_low,missed_rate_ci_high,rq1b_request_em,rq1b_request_em_ci_low,rq1b_request_em_ci_high,rq1b_message_all_correct,seen_top1,seen_top1_ci_low,seen_top1_ci_high,unseen_top1,unseen_top1_ci_low,unseen_top1_ci_high,unsupported_f1,unsupported_f1_ci_low,unsupported_f1_ci_high,latency_p50,latency_p50_ci_low,latency_p50_ci_high,latency_p95,latency_p95_ci_low,latency_p95_ci_high,latency_p99,output_tokens_median,cost_mean_usd_per_call,cost_usd_per_1000_correct,flag_valid_lt_50
Jev-1.13.0,main,RQ1a,base,300,0.94,0.9133333333333333,0.9666666666666667,0.985,0.9783333333333334,0.9916666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.042352941176470586,0.024271844660194174,0.06235926674364891,0.0,0.0,0.0,,,,,,,,,,,,,,0.273638729006052,0.2683972716331482,0.28129737451672554,0.3806574081070722,0.359129904396832,0.4033354450482875,0.5355514160636812,181.0,3.4312599999999994e-05,0.03650276595744681,False
DeepSeek-V4.1-Flash,main,RQ1a,base,300,0.99,0.9766666666666667,1.0,0.9975,0.9941666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.004705882352941176,0.0,0.011961722488038277,0.0012903225806451613,0.0,0.0039268302306272405,,,,,,,,,,,,,,0.3777499161660671,0.37296597892418504,0.3848779583349824,1.0539149041753262,0.6088292796630417,1.6830453650094588,4.933385052746154,26.0,8.960488e-05,0.0905099797979798,False
GLM-5.3-Flash,main,RQ1a,base,300,0.9866666666666667,0.9733333333333334,0.9966666666666667,0.9966666666666667,0.9933333333333333,0.9991666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.004705882352941176,0.0,0.011990407673860911,0.0025806451612903226,0.0,0.006502162237212827,,,,,,,,,,,,,,0.6464128117077053,0.6185294999741018,0.6689971671206876,2.68544342503883,2.312420614529402,2.8500557773280892,3.3627020347863135,36.0,3.994003333333334e-05,0.04047976351351351,False
Qwen3.8-Flash,main,RQ1a,base,300,0.96,0.9366666666666666,0.98,0.9875,0.9783333333333334,0.9941666666666666,0.9966666666666667,0.99,1.0,0.0,0.0,0.0,0.02588235294117647,0.011904761904761904,0.04205607476635514,0.003870967741935484,0.0,0.011780104712041885,,,,,,,,,,,,,,1.7743495618924499,1.6609978331252933,1.863342312630266,3.668294118996711,3.4212610831018546,4.688295994140209,5.773902881713584,30.0,3.657680936454849e-05,0.03797384027777778,False
SemIf-Qwen3.5-4B,main,RQ1a,base,300,0.64,0.5866666666666667,0.6933333333333334,0.9016666666666666,0.8858333333333334,0.9166666666666666,1.0,1.0,1.0,0.0033333333333333335,0.0,0.01,0.1952941176470588,0.16046447738308203,0.23165205391806015,0.03096774193548387,0.019255455712451863,0.04430441635172379,,,,,,,,,,,,,,0.12374424887821078,0.12290802437346429,0.12377740629017353,0.29591953295748685,0.26709752490278343,0.30580413923598826,0.32285399611108,0.0,,,False
Laya,main,RQ1a,base,300,0.11,0.07666666666666666,0.14666666666666667,0.6708333333333333,0.65,0.6916666666666667,1.0,1.0,1.0,0.13,0.09333333333333334,0.17,0.7623529411764706,0.7270483691562797,0.7975015243902439,0.005161290322580645,0.0012674271229404308,0.010444205532517615,,,,,,,,,,,,,,0.05483278329484165,0.05482871341519058,0.05483737005852163,0.2216896486468613,0.1920160803245381,0.22714056770782926,0.2418885239819064,0.0,,,False
Qwen3.5-4B-JSON,reference,RQ1a,base,300,0.48,0.42333333333333334,0.5366666666666666,0.8541666666666666,0.8358333333333333,0.8716666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.30117647058823527,0.2556548404115009,0.3489473146503623,0.025806451612903226,0.013245033112582781,0.040051679586563305,,,,,,,,,,,,,,0.773794457083568,0.772803692612797,0.7748102678451687,0.867910781572573,0.8508163541555405,0.8942371177487076,1.0359782109176738,30.0,,,False
Rule,reference,RQ1a,base,300,0.06666666666666667,0.04,0.09666666666666666,0.5575,0.5341666666666667,0.5808333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5367741935483871,0.5144356955380578,0.5576923076923077,,,,,,,,,,,,,,1.7791520804166794e-05,1.631304621696472e-05,1.8541701138019562e-05,3.367974422872067e-05,3.054095432162285e-05,3.5685393959283844e-05,4.0048873052000994e-05,0.0,,,False
Jev-1.13.0,main,RQ1a,pad_512,300,0.9233333333333333,0.89,0.9533333333333334,0.9808333333333333,0.9725,0.9883333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.047058823529411764,0.028169014084507043,0.06807511737089202,0.003870967741935484,0.0,0.009009009009009009,,,,,,,,,,,,,,0.27574545750394464,0.2692887079901993,0.2812783960253,0.35929802837781616,0.34591467254795133,0.39325103741139195,0.5046284344233571,181.0,6.080186e-05,0.06585038989169675,False
DeepSeek-V4.1-Flash,main,RQ1a,pad_512,300,0.9733333333333334,0.9533333333333334,0.99,0.9925,0.9866666666666667,0.9975,1.0,1.0,1.0,0.0,0.0,0.0,0.01411764705882353,0.004618937644341801,0.026128266033254157,0.003870967741935484,0.0,0.010403120936280884,,,,,,,,,,,,,,0.5027453540824354,0.485253416467458,0.5189682086929679,0.8828399075660855,0.7429597020149232,1.010948619106785,2.113173612253732,25.0,0.00024663208,0.2533891232876712,False
