rq,condition,model,reference_model,n_paired,em_diff,em_diff_ci_low,em_diff_ci_high,em_mcnemar_p,unsafe_diff,unsafe_diff_ci_low,unsafe_diff_ci_high,unsafe_mcnemar_p,cochrans_q_em_stat,cochrans_q_em_p,cochrans_q_unsafe_stat,cochrans_q_unsafe_p
RQ1a,base,DeepSeek-V4.1-Flash,Jev-1.13.0,300,0.05,0.023333333333333334,0.07666666666666666,0.000728607177734375,0.0,0.0,0.0,1.0,968.7704918032787,3.464614648385393e-207,188.3,9.019229632246781e-39
RQ1a,base,GLM-5.3-Flash,Jev-1.13.0,300,0.04666666666666667,0.02,0.07666666666666666,0.0025768280029296875,0.0,0.0,0.0,1.0,968.7704918032787,3.464614648385393e-207,188.3,9.019229632246781e-39
RQ1a,base,Qwen3.8-Flash,Jev-1.13.0,300,0.02,-0.006666666666666667,0.04666666666666667,0.237884521484375,0.0,0.0,0.0,1.0,968.7704918032787,3.464614648385393e-207,188.3,9.019229632246781e-39
RQ1a,base,SemIf-Qwen3.5-4B,Jev-1.13.0,300,-0.3,-0.36,-0.24,2.6459721785029077e-20,0.0033333333333333335,0.0,0.01,1.0,968.7704918032787,3.464614648385393e-207,188.3,9.019229632246781e-39
RQ1a,base,Laya,Jev-1.13.0,300,-0.83,-0.87,-0.7866666666666666,2.210859150104178e-75,0.13,0.09333333333333334,0.17,3.637978807091713e-12,968.7704918032787,3.464614648385393e-207,188.3,9.019229632246781e-39
RQ1a,pad_512,DeepSeek-V4.1-Flash,Jev-1.13.0,300,0.05,0.02,0.08333333333333333,0.004077315330505371,0.0,0.0,0.0,1.0,1086.3152709359606,1.2291009482830441e-232,445.0,5.885198606588699e-94
RQ1a,pad_512,GLM-5.3-Flash,Jev-1.13.0,300,0.05,0.02,0.08333333333333333,0.002599477767944336,0.0,0.0,0.0,1.0,1086.3152709359606,1.2291009482830441e-232,445.0,5.885198606588699e-94
RQ1a,pad_512,Qwen3.8-Flash,Jev-1.13.0,300,0.04,0.01,0.07333333333333333,0.022655844688415527,0.0,0.0,0.0,1.0,1086.3152709359606,1.2291009482830441e-232,445.0,5.885198606588699e-94
RQ1a,pad_512,SemIf-Qwen3.5-4B,Jev-1.13.0,300,-0.49333333333333335,-0.5533333333333333,-0.43666666666666665,4.0739249604083244e-42,0.0,0.0,0.0,1.0,1086.3152709359606,1.2291009482830441e-232,445.0,5.885198606588699e-94
RQ1a,pad_512,Laya,Jev-1.13.0,300,-0.9133333333333333,-0.9433333333333334,-0.88,6.588873714519077e-83,0.2966666666666667,0.24666666666666667,0.35,3.2311742677852644e-27,1086.3152709359606,1.2291009482830441e-232,445.0,5.885198606588699e-94
RQ1a,pad_2048,DeepSeek-V4.1-Flash,Jev-1.13.0,300,0.056666666666666664,0.023333333333333334,0.09,0.0015137195587158203,0.0,0.0,0.0,1.0,1076.0044532409697,2.100641429126638e-230,298.19354838709677,2.4491858939095237e-62
RQ1a,pad_2048,GLM-5.3-Flash,Jev-1.13.0,300,0.05333333333333334,0.023333333333333334,0.08666666666666667,0.001543879508972168,0.0,0.0,0.0,1.0,1076.0044532409697,2.100641429126638e-230,298.19354838709677,2.4491858939095237e-62
RQ1a,pad_2048,Qwen3.8-Flash,Jev-1.13.0,300,0.05333333333333334,0.02,0.08666666666666667,0.002493917942047119,0.0,0.0,0.0,1.0,1076.0044532409697,2.100641429126638e-230,298.19354838709677,2.4491858939095237e-62
RQ1a,pad_2048,SemIf-Qwen3.5-4B,Jev-1.13.0,300,-0.4766666666666667,-0.5366666666666666,-0.4166666666666667,1.1851321278320514e-37,0.0033333333333333335,0.0,0.01,1.0,1076.0044532409697,2.100641429126638e-230,298.19354838709677,2.4491858939095237e-62
RQ1a,pad_2048,Laya,Jev-1.13.0,300,-0.9033333333333333,-0.9333333333333333,-0.87,5.271098971615262e-82,0.20333333333333334,0.16,0.25,8.673617379884035e-19,1076.0044532409697,2.100641429126638e-230,298.19354838709677,2.4491858939095237e-62
RQ1a,pad_8192,DeepSeek-V4.1-Flash,Jev-1.13.0,300,0.06666666666666667,0.03666666666666667,0.1,8.797645568847656e-05,0.0,0.0,0.0,1.0,905.6035731530661,1.6305968025788348e-193,273.2105263157895,5.720223000718041e-57
RQ1a,pad_8192,GLM-5.3-Flash,Jev-1.13.0,300,0.04,0.0033333333333333335,0.08,0.06524533522315325,0.0,0.0,0.0,1.0,905.6035731530661,1.6305968025788348e-193,273.2105263157895,5.720223000718041e-57
