hypothesis,rq,family,contrast,model,reference_model,level,null_val,direction,estimate,ci_low,ci_high,raw_p,holm_p,p_floor,gated,verdict,flag_low_valid,notes
H1(a),RQ1a,latency_contrast,DeepSeek-V4.1-Flash - Jev-1.13.0 @ base,DeepSeek-V4.1-Flash,Jev-1.13.0,base,0.0,>,0.10914462432265282,0.10152216721326113,0.11719306325539947,1.2636218899854194e-46,3.790865669956258e-46,False,False,resolved,,n_paired=300
H1(a),RQ1a,latency_contrast,DeepSeek-V4.1-Flash - Jev-1.13.0 @ pad_512,DeepSeek-V4.1-Flash,Jev-1.13.0,pad_512,0.0,>,0.2166348546743393,0.20365845784544945,0.23139383364468813,9.744216998032375e-49,5.846530198819425e-48,False,False,resolved,,n_paired=300
H1(a),RQ1a,latency_contrast,DeepSeek-V4.1-Flash - Jev-1.13.0 @ pad_2048,DeepSeek-V4.1-Flash,Jev-1.13.0,pad_2048,0.0,>,0.26942789601162076,0.256545084528625,0.28266107394592827,9.618300460831354e-50,6.732810322581948e-49,False,False,resolved,,n_paired=300
H1(a),RQ1a,latency_contrast,DeepSeek-V4.1-Flash - Jev-1.13.0 @ pad_8192,DeepSeek-V4.1-Flash,Jev-1.13.0,pad_8192,0.0,>,0.16471110377460718,0.15081437584012747,0.18291700072586536,6.841463995394948e-42,6.841463995394948e-42,False,False,resolved,,n_paired=300
H1(a),RQ1a,latency_contrast,DeepSeek-V4.1-Flash - Jev-1.13.0 @ pad_16384,DeepSeek-V4.1-Flash,Jev-1.13.0,pad_16384,0.0,>,0.21791347907856107,0.20428357211640105,0.2363428333774209,5.819934446761318e-46,1.1639868893522636e-45,False,False,resolved,,n_paired=300
H1(a),RQ1a,latency_contrast,GLM-5.3-Flash - Jev-1.13.0 @ base,GLM-5.3-Flash,Jev-1.13.0,base,0.0,>,0.3699988960288465,0.34676064597442746,0.3956393997767008,5.410919198664755e-50,4.8698272787982794e-49,False,False,resolved,,n_paired=300
H1(a),RQ1a,latency_contrast,GLM-5.3-Flash - Jev-1.13.0 @ pad_512,GLM-5.3-Flash,Jev-1.13.0,pad_512,0.0,>,0.4474524585530162,0.42503625014796853,0.4703887915238738,6.460752129436321e-51,1.216711969938288e-49,False,False,resolved,,n_paired=300
H1(a),RQ1a,latency_contrast,GLM-5.3-Flash - Jev-1.13.0 @ pad_2048,GLM-5.3-Flash,Jev-1.13.0,pad_2048,0.0,>,0.40015387535095215,0.36980685498565435,0.42746264580637217,6.083559849691439e-51,1.216711969938288e-49,False,False,resolved,,n_paired=300
H1(a),RQ1a,latency_contrast,GLM-5.3-Flash - Jev-1.13.0 @ pad_8192,GLM-5.3-Flash,Jev-1.13.0,pad_8192,0.0,>,0.750936291180551,0.72244375012815,0.8109107087366283,7.811202844043988e-50,6.2489622752351906e-49,False,False,resolved,,n_paired=300
H1(a),RQ1a,latency_contrast,GLM-5.3-Flash - Jev-1.13.0 @ pad_16384,GLM-5.3-Flash,Jev-1.13.0,pad_16384,0.0,>,1.156383104622364,1.0720234597101808,1.2181214578449726,1.6734332568029296e-47,6.693733027211718e-47,False,False,resolved,,n_paired=300
