part,cell,model,deployment,n_arrivals,n_supported,primary_metric,strict_completion,strict_ci_low,strict_ci_high,operational_completion,operational_ci_low,operational_ci_high,share_success,share_wrong_or_late,share_queue_expired,share_queue_overflow,share_decision_late,share_decision_timeout,share_invalid_decision,share_unsupported,share_no_feasible_node,share_ocr_returned,share_ocr_error,share_undeployed,share_invalid_labels,share_service_queue_expired,share_service_aborted,share_service_transport_or_integrity_error,share_aborted,share_aborted_before_dispatch,T_p50_completions,T_p50_completions_ci_low,T_p50_completions_ci_high,T_p95_completions,T_p95_completions_ci_low,T_p95_completions_ci_high,T_p99_completions,T_p50_shared,T_p50_shared_ci_low,T_p50_shared_ci_high,T_p95_shared,T_p95_shared_ci_low,T_p95_shared_ci_high,T_p99_shared,n_shared_with_anchor,shared_anchor,cost_usd_known,unknown_cost_calls,usd_per_correct_completion,api_calls,cache_hits,locality_violations,offsite_bytes,false_admissions,correct_rejections,mean_admission_wait_s,mean_decision_s,mean_service_queue_s,mean_transfer_s,mean_execution_s
A,load_1,Jev-1.13.0,hosted,300,300,strict,0.94,0.906667,0.966667,1,1,1,0.94,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372086,0.364072,0.37978,0.48888,0.464152,0.523701,0.687446,0.372086,0.364072,0.37978,0.48888,0.464152,0.523701,0.687446,282,Jev-1.13.0,0.0102938,0,3.65028e-05,300,0,0,,,,0.00185674,0.28455,0.000536803,0.0108832,0.0833503
A,load_1,DeepSeek-V4.1-Flash,hosted,300,300,strict,0.906667,0.82,0.976667,0.916667,0.826667,0.99,0.906667,0.0133333,0.0333333,0,0.0433333,0,0,0,0.00333333,0,0,0,0,0,0,0,0,0,0.452406,0.442867,0.463759,0.672456,0.562443,0.723838,0.806376,0.452464,0.443169,0.463558,0.667191,0.557732,0.722603,0.790362,257,Jev-1.13.0,0.0312909,0,0.00011504,290,0,0,,,,0.0181034,0.684434,0.00150124,0.0108864,0.0836674
A,load_1,GLM-5.3-Flash,hosted,300,300,strict,0.916667,0.886667,0.946667,0.926667,0.9,0.953333,0.916667,0.0133333,0,0,0.0666667,0,0,0,0.00333333,0,0,0,0,0,0,0,0,0,0.770825,0.732698,0.799712,1.1573,1.12609,1.36034,1.80401,0.773174,0.734614,0.799988,1.17212,1.12609,1.36772,1.81398,259,Jev-1.13.0,0.0118238,0,4.29956e-05,300,0,0,,,,0.00608221,0.869272,0.000640735,0.0108397,0.083114
A,load_1,Qwen3.8-Flash,hosted,300,300,strict,0.9,0.873333,0.926667,0.93,0.9,0.96,0.9,0.03,0,0,0.0466667,0,0.00333333,0,0.02,0,0,0,0,0,0,0,0,0,1.35338,1.32064,1.36929,1.76294,1.72571,1.86636,1.94924,1.35218,1.32064,1.36939,1.77587,1.72571,1.86962,1.95127,255,Jev-1.13.0,0.0156853,1,5.80937e-05,300,0,0,,,,0.00667215,1.35275,0.000635588,0.0108479,0.0837251
A,load_1,SemIf-Qwen3.5-4B,self-hosted,300,300,strict,0.63,0.576667,0.69,0.846667,0.806667,0.89,0.63,0.356667,0,0,0,0,0,0.01,0.00333333,0,0,0,0,0,0,0,0,0,0.636098,0.620378,0.675626,1.28456,1.12846,1.48275,1.69495,0.636098,0.620378,0.675626,1.28456,1.12846,1.48275,1.69495,189,SemIf-Qwen3.5-4B,0,0,,300,0,0,,,,0.00178838,0.678773,0,0.0108451,0.0836926
A,load_1,Laya,self-hosted,300,300,strict,0.116667,0.0766667,0.16,0.743333,0.686667,0.79,0.116667,0.783333,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.224499,0.21133,0.255752,0.313724,0.26641,0.34904,0.342019,0.224915,0.210943,0.259791,0.321057,0.26641,0.34904,0.343465,28,SemIf-Qwen3.5-4B,0,0,,300,0,1,,,,0.00194594,0.111926,0.000494148,0.0109164,0.0962374
A,load_1,Qwen3.5-4B-JSON,self-hosted,300,300,strict,0.193333,0.06,0.33,0.34,0.103333,0.58,0.193333,0.17,0.13,0,0.49,0,0,0.00666667,0.01,0,0,0,0,0,0,0,0,0,1.14752,1.05084,1.33502,1.78471,1.60049,1.92824,1.87527,1.20352,1.05364,1.33502,1.77465,1.60049,1.92824,1.88642,46,SemIf-Qwen3.5-4B,0,0,,261,0,0,,,,0.368245,2.95688,0,0.0108948,0.0808954
A,load_2,Jev-1.13.0,hosted,300,300,strict,0.953333,0.933333,0.973333,1,1,1,0.953333,0.0466667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358851,0.349939,0.371742,0.478834,0.463434,0.522057,0.556405,0.358851,0.349939,0.371742,0.478834,0.463434,0.522057,0.556405,286,Jev-1.13.0,0.0102938,0,3.59922e-05,300,0,0,,,,0.00183313,0.277138,0.000760357,0.0110562,0.0833203
A,load_2,DeepSeek-V4.1-Flash,hosted,300,300,strict,0.976667,0.953333,0.993333,0.986667,0.966667,1,0.976667,0.0166667,0,0,0.00666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492085,0.476662,0.496965,0.766647,0.626671,0.940292,1.23036,0.494116,0.479449,0.499026,0.78551,0.628108,0.942168,1.25574,281,Jev-1.13.0,0.0268967,0,9.17977e-05,300,0,0,,,,0.00824987,0.434498,0.00268544,0.0108685,0.082996
A,load_2,GLM-5.3-Flash,hosted,300,300,strict,0.823333,0.716667,0.923333,0.833333,0.73,0.93,0.823333,0.01,0,0,0.146667,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.774648,0.753872,0.803161,1.52419,1.19538,1.8205,1.87884,0.780442,0.758252,0.804452,1.54394,1.20637,1.82486,1.87973,238,Jev-1.13.0,0.011737,0,4.75183e-05,300,0,0,,,,0.0865281,0.979579,0.0019363,0.011382,0.0830664
A,load_2,Qwen3.8-Flash,hosted,300,300,strict,0.66,0.533333,0.766667,0.696667,0.57,0.803333,0.66,0.0366667,0.00666667,0,0.263333,0,0,0,0.0333333,0,0,0,0,0,0,0,0,0,1.44786,1.42743,1.48847,1.89983,1.84081,1.94572,1.95595,1.44952,1.43098,1.48847,1.88863,1.83853,1.94572,1.9584,190,Jev-1.13.0,0.0110989,0,5.60549e-05,298,0,0,,,,0.263577,1.46517,0.00098377,0.01164,0.0816239
A,load_2,SemIf-Qwen3.5-4B,self-hosted,300,300,strict,0.0866667,0.00333333,0.21,0.1,0.01,0.24,0.0866667,0.0133333,0.17,0,0.72,0,0,0,0.01,0,0,0,0,0,0,0,0,0,1.41693,1.08248,1.97198,1.95882,1.81987,1.97311,1.97621,1.41693,1.08248,1.97198,1.95882,1.81987,1.97311,1.97621,26,SemIf-Qwen3.5-4B,0,0,,249,0,0,,,,0.955184,2.32818,0,0.0108274,0.0795767
A,load_2,Laya,self-hosted,300,300,strict,0.116667,0.0766667,0.16,0.743333,0.686667,0.79,0.116667,0.783333,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.217425,0.194137,0.235448,0.296847,0.265712,0.31501,0.309795,0.278369,0.278369,0.278369,0.28574,0.28574,0.286559,0.286395,2,SemIf-Qwen3.5-4B,0,0,,300,0,1,,,,0.00187266,0.0979565,0.000559159,0.0111757,0.0961485
A,load_2,Qwen3.5-4B-JSON,self-hosted,300,300,strict,0.00333333,0,0.01,0.00666667,0,0.02,0.00333333,0.00333333,0.526667,0,0.466667,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30397,1.30397,1.30397,1.30397,1.30397,1.30397,1.30397,1.30397,1.30397,1.30397,1.30397,1.30397,1.30397,1.30397,1,SemIf-Qwen3.5-4B,0,0,,142,0,0,,,,1.44817,4.30727,0,0.009032,0.1196
A,load_4,Jev-1.13.0,hosted,300,300,strict,0.936667,0.913333,0.963333,0.996667,0.99,1,0.936667,0.06,0,0,0,0,0.00333333,0,0,0,0,0,0,0,0,0,0,0,0.361544,0.356882,0.36806,0.47058,0.454251,0.485479,0.574456,0.361544,0.356882,0.36806,0.47058,0.454251,0.485479,0.574456,281,Jev-1.13.0,0.0102598,1,3.65119e-05,300,0,0,,,,0.00218976,0.272152,0.00190278,0.0116204,0.0835301
A,load_4,DeepSeek-V4.1-Flash,hosted,300,300,strict,0.983333,0.97,0.996667,0.996667,0.99,1,0.983333,0.0166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482648,0.473501,0.493767,0.667418,0.626342,0.697018,0.803017,0.484643,0.473547,0.493935,0.680056,0.62383,0.697201,0.804535,278,Jev-1.13.0,0.0266805,0,9.04425e-05,300,0,0,,,,0.00653484,0.401088,0.0031935,0.0108832,0.0832437
A,load_4,GLM-5.3-Flash,hosted,300,300,strict,0.806667,0.656667,0.933333,0.81,0.66,0.936667,0.806667,0.00666667,0.0133333,0,0.143333,0,0,0,0.03,0,0,0,0,0,0,0,0,0,1.18546,1.09839,1.34735,1.86917,1.7563,1.89004,1.95193,1.18068,1.08729,1.34854,1.86638,1.7537,1.89019,1.95637,232,Jev-1.13.0,0.011735,0,4.84916e-05,296,0,0,,,,0.46268,0.883085,0.00288026,0.0110457,0.0831496
A,load_4,Qwen3.8-Flash,hosted,300,300,strict,0.0266667,0.01,0.05,0.03,0.01,0.0533333,0.0266667,0.00333333,0.31,0,0.653333,0,0,0,0.00666667,0,0,0,0,0,0,0,0,0,1.61875,1.5597,1.88729,1.9596,1.63217,1.99854,1.99075,1.61875,1.5597,1.88729,1.9596,1.63217,1.99854,1.99075,8,Jev-1.13.0,0.00760873,0,0.000951091,207,0,0,,,,1.53004,1.47774,0,0.00928811,0.0872111
A,load_4,SemIf-Qwen3.5-4B,self-hosted,300,300,strict,0.01,0,0.03,0.01,0,0.03,0.01,0,0.606667,0,0.383333,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20219,1.20219,1.20219,1.85123,1.85123,1.92334,1.90892,1.20219,1.20219,1.20219,1.85123,1.85123,1.92334,1.90892,3,SemIf-Qwen3.5-4B,0,0,,118,0,0,,,,1.67261,2.63731,0,0.00894267,0.1104
A,load_4,Laya,self-hosted,300,300,strict,0.116667,0.0766667,0.16,0.743333,0.686667,0.79,0.116667,0.783333,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.219709,0.195752,0.248746,0.302202,0.267993,0.341901,0.331868,0.274517,0.274517,0.274517,0.274517,0.274517,0.274517,0.274517,1,SemIf-Qwen3.5-4B,0,0,,300,0,1,,,,0.00187579,0.102182,0.00161884,0.0111757,0.0961485
A,load_4,Qwen3.5-4B-JSON,self-hosted,300,300,strict,0.00333333,0,0.01,0.00666667,0,0.02,0.00333333,0.00333333,0.75,0,0.243333,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25716,1.25716,1.25716,1.25716,1.25716,1.25716,1.25716,1.25716,1.25716,1.25716,1.25716,1.25716,1.25716,1.25716,1,SemIf-Qwen3.5-4B,0,0,,75,0,0,,,,1.60588,4.20317,0,0.009032,0.1196
A,load_8,Jev-1.13.0,hosted,300,300,strict,0.943333,0.923333,0.963333,1,1,1,0.943333,0.0566667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377047,0.36972,0.389949,0.510591,0.485815,0.532431,0.612732,0.377047,0.36972,0.389949,0.510591,0.485815,0.532431,0.612732,283,Jev-1.13.0,0.0102938,0,3.63738e-05,300,0,0,,,,0.0109774,0.277767,0.00567524,0.0113731,0.0831983
A,load_8,DeepSeek-V4.1-Flash,hosted,300,300,strict,0.603333,0.346667,0.836667,0.606667,0.346667,0.84,0.603333,0.00666667,0.0933333,0,0.253333,0,0,0,0.0433333,0,0,0,0,0,0,0,0,0,0.937304,0.646757,1.34738,1.8896,1.48306,1.97299,1.97667,0.940831,0.651512,1.34515,1.89311,1.485,1.97558,1.97738,168,Jev-1.13.0,0.0242871,0,0.000134183,272,0,0,,,,0.835783,0.526359,0.0151412,0.0128369,0.0800617
A,load_8,GLM-5.3-Flash,hosted,300,300,strict,0.0766667,0,0.2,0.0766667,0,0.2,0.0766667,0,0.26,0,0.646667,0,0,0,0.0166667,0,0,0,0,0,0,0,0,0,1.63936,1.52221,1.94565,1.95803,1.93042,1.96414,1.97919,1.56942,1.4931,1.94766,1.95895,1.93383,1.96933,1.97971,21,Jev-1.13.0,0.00880434,0,0.000382797,222,0,0,,,,1.6497,0.707991,0,0.0106153,0.0847522
A,load_8,Qwen3.8-Flash,hosted,300,300,strict,0.0133333,0,0.04,0.0133333,0,0.04,0.0133333,0,0.633333,0,0.353333,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53428,1.53428,1.53428,1.87057,1.87057,1.91881,1.90916,1.53428,1.53428,1.53428,1.87057,1.87057,1.91881,1.90916,4,Jev-1.13.0,0.00431836,0,0.00107959,110,0,0,,,,1.73571,1.47716,0.10556,0.0104355,0.1023
A,load_8,SemIf-Qwen3.5-4B,self-hosted,300,300,strict,0.01,0,0.03,0.01,0,0.03,0.01,0,0.79,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19846,1.19846,1.19846,1.79906,1.79906,1.86579,1.85244,1.19846,1.19846,1.19846,1.79906,1.79906,1.86579,1.85244,3,SemIf-Qwen3.5-4B,0,0,,63,0,0,,,,1.72232,2.58966,0,0.00894267,0.1104
A,load_8,Laya,self-hosted,300,300,strict,0.116667,0.0766667,0.16,0.743333,0.686667,0.79,0.116667,0.783333,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.241541,0.217583,0.261274,0.319247,0.303549,0.415104,0.38668,0.261274,0.261274,0.261274,0.261274,0.261274,0.261274,0.261274,1,SemIf-Qwen3.5-4B,0,0,,300,0,1,,,,0.00190765,0.115789,0.00377024,0.0120077,0.0960285
A,load_8,Qwen3.5-4B-JSON,self-hosted,300,300,strict,0.00333333,0,0.01,0.00333333,0,0.01,0.00333333,0,0.87,0,0.123333,0,0,0,0.00333333,0,0,0,0,0,0,0,0,0,1.32648,1.32648,1.32648,1.32648,1.32648,1.32648,1.32648,1.32648,1.32648,1.32648,1.32648,1.32648,1.32648,1.32648,1,SemIf-Qwen3.5-4B,0,0,,39,0,0,,,,1.65359,4.21178,0,0.006982,0.1872
A,load_16,Jev-1.13.0,hosted,300,300,strict,0.906667,0.836667,0.96,0.97,0.91,1,0.906667,0.0633333,0,0,0.0166667,0,0,0,0.0133333,0,0,0,0,0,0,0,0,0,0.917504,0.692692,1.46202,1.74074,1.53303,1.87093,1.88568,0.917504,0.692692,1.46202,1.74074,1.53303,1.87093,1.88568,272,Jev-1.13.0,0.0102938,0,3.78448e-05,300,0,0,,,,0.712168,0.271122,0.014876,0.0119627,0.0825546
A,load_16,DeepSeek-V4.1-Flash,hosted,300,300,strict,0.0933333,0,0.28,0.0933333,0,0.28,0.0933333,0,0.32,0.0766667,0.5,0,0,0,0.01,0,0,0,0,0,0,0,0,0,1.38675,1.38675,1.38675,1.86512,1.86512,1.89232,1.93054,1.39614,1.39614,1.39614,1.869,1.869,1.89232,1.93106,27,Jev-1.13.0,0.0161461,0,0.000576647,181,0,0,,,,1.68826,0.460447,0.0241831,0.0110451,0.0745964
A,load_16,GLM-5.3-Flash,hosted,300,300,strict,0.0233333,0,0.07,0.0233333,0,0.07,0.0233333,0,0.54,0.0833333,0.353333,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25672,1.25672,1.25672,1.93868,1.93868,1.94067,1.94027,1.25672,1.25672,1.25672,1.93868,1.93868,1.94067,1.94027,7,Jev-1.13.0,0.00455148,0,0.000650211,113,0,0,,,,1.79304,0.743014,0.0503241,0.009154,0.0773143
A,load_16,Qwen3.8-Flash,hosted,300,300,strict,0.00333333,0,0.01,0.00333333,0,0.01,0.00333333,0,0.706667,0.0966667,0.193333,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65158,1.65158,1.65158,1.65158,1.65158,1.65158,1.65158,1.65158,1.65158,1.65158,1.65158,1.65158,1.65158,1.65158,1,Jev-1.13.0,0.00212982,0,0.00212982,59,0,0,,,,1.78438,1.46892,0,0.014914,0.078
A,load_16,SemIf-Qwen3.5-4B,self-hosted,300,300,strict,0.01,0,0.03,0.01,0,0.03,0.01,0,0.786667,0.0966667,0.106667,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28676,1.28676,1.28676,1.9023,1.9023,1.9707,1.95702,1.28676,1.28676,1.28676,1.9023,1.9023,1.9707,1.95702,3,SemIf-Qwen3.5-4B,0,0,,35,0,0,,,,1.64779,2.54248,0,0.00894267,0.1104
A,load_16,Laya,self-hosted,300,300,strict,0.0933333,0.0433333,0.146667,0.526667,0.31,0.71,0.0933333,0.533333,0.0233333,0.01,0.213333,0,0,0.0833333,0.0433333,0,0,0,0,0,0,0,0,0,0.711473,0.417996,1.55729,1.81571,0.471559,1.95867,1.93718,0.263432,0.263432,0.263432,0.263432,0.263432,0.263432,0.263432,1,SemIf-Qwen3.5-4B,0,0,,290,0,2,,,,0.77189,0.259348,0.00396853,0.0132107,0.0978846
A,load_16,Qwen3.5-4B-JSON,self-hosted,300,300,strict,0.00333333,0,0.01,0.00333333,0,0.01,0.00333333,0,0.823333,0.1,0.0733333,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32735,1.32735,1.32735,1.32735,1.32735,1.32735,1.32735,1.32735,1.32735,1.32735,1.32735,1.32735,1.32735,1.32735,1,SemIf-Qwen3.5-4B,0,0,,23,0,0,,,,1.55859,3.95584,0,0.006982,0.1872
A,deadline_0.5,Jev-1.13.0,hosted,300,300,strict,0.89,0.866667,0.916667,0.95,0.93,0.97,0.89,0.06,0,0,0.0133333,0,0,0,0.0366667,0,0,0,0,0,0,0,0,0,0.362399,0.357428,0.3701,0.464813,0.448025,0.472278,0.48444,0.362399,0.357428,0.3701,0.464813,0.448025,0.472278,0.48444,267,Jev-1.13.0,0.0102938,0,3.85535e-05,300,0,0,,,,0.00217297,0.280713,0.000996225,0.0113072,0.0811186
