part,cell,model,delay_s,strict_completion,operational_completion,max_interpreter_primary,flag
A,load_1,fixed-latency-0.3,0.3,1,1,0.94,
A,load_1,fixed-latency-0.6,0.6,1,1,0.94,
A,load_1,fixed-latency-1.2,1.2,1,1,0.94,
A,load_1,oracle,,1,1,0.94,
A,load_16,fixed-latency-0.3,0.3,0.506667,0.506667,0.906667,
A,load_16,fixed-latency-0.6,0.6,0.05,0.05,0.906667,
A,load_16,fixed-latency-1.2,1.2,0.0133333,0.0133333,0.906667,
A,load_16,oracle,,1,1,0.906667,
A,load_2,fixed-latency-0.3,0.3,1,1,0.976667,
A,load_2,fixed-latency-0.6,0.6,1,1,0.976667,
A,load_2,fixed-latency-1.2,1.2,0.983333,0.983333,0.976667,
A,load_2,oracle,,1,1,0.976667,
A,load_4,fixed-latency-0.3,0.3,1,1,0.983333,
A,load_4,fixed-latency-0.6,0.6,1,1,0.983333,
A,load_4,fixed-latency-1.2,1.2,0.116667,0.116667,0.983333,
A,load_4,oracle,,1,1,0.983333,
A,load_8,fixed-latency-0.3,0.3,1,1,0.943333,
A,load_8,fixed-latency-0.6,0.6,0.19,0.19,0.943333,
A,load_8,fixed-latency-1.2,1.2,0.0166667,0.0166667,0.943333,
A,load_8,oracle,,1,1,0.943333,
