part,cell,model,anchor,deployment,G_primary,G_primary_ci_low,G_primary_ci_high,G_primary_p,G_operational,G_operational_ci_low,G_operational_ci_high,dT95,dT95_ci_low,dT95_ci_high,dT95_p,dT50,dT50_ci_low,dT50_ci_high,n_shared,h7_eligible
A,load_1,DeepSeek-V4.1-Flash,Jev-1.13.0,hosted,0.0333333,-0.0333333,0.12,0.463,0.0833333,0.01,0.173333,0.177339,0.0647755,0.223649,9.999e-05,0.079871,0.070541,0.093774,257,true
A,load_1,GLM-5.3-Flash,Jev-1.13.0,hosted,0.0233333,-0.0166667,0.0666667,0.302,0.0733333,0.0466667,0.1,0.677479,0.606173,0.883969,9.999e-05,0.400581,0.367657,0.422574,259,true
A,load_1,Qwen3.8-Flash,Jev-1.13.0,hosted,0.04,-0.00666667,0.0833333,0.1116,0.07,0.04,0.1,1.2874,1.22855,1.3824,9.999e-05,0.979564,0.947612,1.00035,255,true
A,load_1,Laya,SemIf-Qwen3.5-4B,self-hosted,0.513333,0.436667,0.59,9.999e-05,0.103333,0.0433333,0.16,-1.03597,-1.41954,-0.665201,9.999e-05,-0.462372,-0.493015,-0.402576,28,false
A,load_1,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,self-hosted,0.436667,0.313333,0.56,9.999e-05,0.506667,0.28,0.73,0.842047,0.70046,1.10635,0.00010016,0.580294,0.413826,0.700947,46,true
A,load_2,DeepSeek-V4.1-Flash,Jev-1.13.0,hosted,-0.0233333,-0.0466667,0.00333333,0.1014,0.0133333,0,0.0333333,0.305942,0.153347,0.449682,9.999e-05,0.13511,0.121006,0.145367,281,true
A,load_2,GLM-5.3-Flash,Jev-1.13.0,hosted,0.13,0.0333333,0.236667,0.005,0.166667,0.07,0.27,1.06768,0.71327,1.34195,9.999e-05,0.421906,0.395549,0.448553,238,true
A,load_2,Qwen3.8-Flash,Jev-1.13.0,hosted,0.293333,0.176667,0.43,9.999e-05,0.303333,0.196667,0.43,1.40681,1.33246,1.46201,9.999e-05,1.09099,1.07055,1.1304,190,true
A,load_2,Laya,SemIf-Qwen3.5-4B,self-hosted,-0.03,-0.14,0.113333,0.6424,-0.643333,-0.75,-0.5,-1.20863,-1.24837,-1.20863,0.000153586,-0.850966,-0.850966,-0.850966,2,false
A,load_2,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,self-hosted,0.0833333,0.00333333,0.2,0.0116,0.0933333,0.01,0.22,0.580228,0.580228,0.580228,0.000153586,0.580228,0.580228,0.580228,1,false
