row_type,hypothesis,part,contrast,anchor,cell,statistic,point,ci_low,ci_high,p_raw,p_holm,holm_family_size,n_shared,eligible,resolved,verdict,coverage_complete,n_tests,n_eligible,n_expected_resolved,n_reversed_resolved,ineligible_cells,missing_cells,note
test,H6,A,DeepSeek-V4.1-Flash,Jev-1.13.0,load_sweep,slope_G_on_log2_lambda,0.192333,0.120333,0.248342,9.999e-05,0.00039996,4,,true,true,,,,,,,,,
test,H6,A,GLM-5.3-Flash,Jev-1.13.0,load_sweep,slope_G_on_log2_lambda,0.245667,0.222333,0.266342,9.999e-05,0.00039996,4,,true,true,,,,,,,,,
test,H6,A,Qwen3.8-Flash,Jev-1.13.0,load_sweep,slope_G_on_log2_lambda,0.236333,0.219333,0.252667,9.999e-05,0.00039996,4,,true,true,,,,,,,,,
test,H6,A,Qwen3.5-4B-JSON,SemIf-Qwen3.5-4B,load_sweep,slope_G_on_log2_lambda,-0.0936667,-0.115667,-0.071,9.999e-05,0.00039996,4,,true,true,,,,,,,,,
test,H7,A,DeepSeek-V4.1-Flash,Jev-1.13.0,load_1,dT_p95_shared,0.177339,0.0647755,0.223649,9.999e-05,0.00219978,22,257,true,true,,,,,,,,,
test,H7,A,GLM-5.3-Flash,Jev-1.13.0,load_1,dT_p95_shared,0.677479,0.606173,0.883969,9.999e-05,0.00219978,22,259,true,true,,,,,,,,,
test,H7,A,Qwen3.8-Flash,Jev-1.13.0,load_1,dT_p95_shared,1.2874,1.22855,1.3824,9.999e-05,0.00219978,22,255,true,true,,,,,,,,,
test,H7,A,DeepSeek-V4.1-Flash,Jev-1.13.0,load_2,dT_p95_shared,0.305942,0.153347,0.449682,9.999e-05,0.00219978,22,281,true,true,,,,,,,,,
test,H7,A,GLM-5.3-Flash,Jev-1.13.0,load_2,dT_p95_shared,1.06768,0.71327,1.34195,9.999e-05,0.00219978,22,238,true,true,,,,,,,,,
test,H7,A,Qwen3.8-Flash,Jev-1.13.0,load_2,dT_p95_shared,1.40681,1.33246,1.46201,9.999e-05,0.00219978,22,190,true,true,,,,,,,,,
test,H7,A,DeepSeek-V4.1-Flash,Jev-1.13.0,load_4,dT_p95_shared,0.209362,0.157155,0.226106,9.999e-05,0.00219978,22,278,true,true,,,,,,,,,
test,H7,A,GLM-5.3-Flash,Jev-1.13.0,load_4,dT_p95_shared,1.3962,1.28666,1.43451,9.999e-05,0.00219978,22,232,true,true,,,,,,,,,
test,H7,A,Qwen3.8-Flash,Jev-1.13.0,load_4,dT_p95_shared,1.43421,1.26527,1.62914,0.00010009,,,8,false,,,,,,,,,,ineligible: shared successes 8 < 30
test,H7,A,DeepSeek-V4.1-Flash,Jev-1.13.0,load_8,dT_p95_shared,1.39689,0.975838,1.49556,9.999e-05,0.00219978,22,168,true,true,,,,,,,,,
test,H7,A,GLM-5.3-Flash,Jev-1.13.0,load_8,dT_p95_shared,1.50527,1.4703,1.57808,0.000102987,,,21,false,,,,,,,,,,ineligible: shared successes 21 < 30
test,H7,A,Qwen3.8-Flash,Jev-1.13.0,load_8,dT_p95_shared,1.38343,1.38343,1.42576,0.000153586,,,4,false,,,,,,,,,,ineligible: shared successes 4 < 30
test,H7,A,DeepSeek-V4.1-Flash,Jev-1.13.0,load_16,dT_p95_shared,1.07731,1.07731,1.09877,0.000153586,,,27,false,,,,,,,,,,ineligible: shared successes 27 < 30
test,H7,A,GLM-5.3-Flash,Jev-1.13.0,load_16,dT_p95_shared,1.30905,1.30905,1.31071,0.000153586,,,7,false,,,,,,,,,,ineligible: shared successes 7 < 30
test,H7,A,Qwen3.8-Flash,Jev-1.13.0,load_16,dT_p95_shared,1.02162,1.02162,1.02162,0.000153586,,,1,false,,,,,,,,,,ineligible: shared successes 1 < 30
test,H7,A,DeepSeek-V4.1-Flash,Jev-1.13.0,deadline_0.5,dT_p95_shared,0.0586488,0.0487403,0.092002,9.999e-05,0.00219978,22,107,true,true,,,,,,,,,
