analysis,model,deployment,N,admission_source,origins_source,n_supported,strict_completion,operational_completion,live_strict_completion,live_operational_completion,replay_reproduces_live
exploratory,Jev-1.13.0,hosted,5,load_8,load_8,300,0.943333,1,0.943333,1,true
exploratory,Jev-1.13.0,hosted,10,load_8,topo_10,300,0.943333,1,0.94,1,
exploratory,Jev-1.13.0,hosted,20,load_8,topo_20,300,0.943333,1,0.943333,1,
exploratory,Jev-1.13.0,hosted,40,load_8,topo_40,300,0.943333,1,0.946667,1,
exploratory,DeepSeek-V4.1-Flash,hosted,5,load_8,load_8,300,0.603333,0.606667,0.603333,0.606667,true
exploratory,DeepSeek-V4.1-Flash,hosted,10,load_8,topo_10,300,0.603333,0.606667,0.993333,1,
exploratory,DeepSeek-V4.1-Flash,hosted,20,load_8,topo_20,300,0.606667,0.61,0.853333,0.863333,
exploratory,DeepSeek-V4.1-Flash,hosted,40,load_8,topo_40,300,0.606667,0.61,0.99,0.996667,
exploratory,GLM-5.3-Flash,hosted,5,load_8,load_8,300,0.0766667,0.0766667,0.0766667,0.0766667,true
exploratory,GLM-5.3-Flash,hosted,10,load_8,topo_10,300,0.0766667,0.0766667,0.0233333,0.0233333,
exploratory,GLM-5.3-Flash,hosted,20,load_8,topo_20,300,0.0766667,0.0766667,0.123333,0.123333,
exploratory,GLM-5.3-Flash,hosted,40,load_8,topo_40,300,0.0766667,0.0766667,0.0233333,0.0233333,
exploratory,Qwen3.8-Flash,hosted,5,load_8,load_8,300,0.0133333,0.0133333,0.0133333,0.0133333,true
exploratory,Qwen3.8-Flash,hosted,10,load_8,topo_10,300,0.0133333,0.0133333,0.0133333,0.0133333,
exploratory,Qwen3.8-Flash,hosted,20,load_8,topo_20,300,0.0133333,0.0133333,0.01,0.01,
exploratory,Qwen3.8-Flash,hosted,40,load_8,topo_40,300,0.0133333,0.0133333,0.00666667,0.00666667,
exploratory,SemIf-Qwen3.5-4B,self-hosted,5,load_8,load_8,300,0.01,0.01,0.01,0.01,true
exploratory,SemIf-Qwen3.5-4B,self-hosted,10,load_8,topo_10,300,0.01,0.01,0.01,0.01,
exploratory,SemIf-Qwen3.5-4B,self-hosted,20,load_8,topo_20,300,0.01,0.01,0.01,0.01,
exploratory,SemIf-Qwen3.5-4B,self-hosted,40,load_8,topo_40,300,0.01,0.01,0.01,0.01,
exploratory,Laya,self-hosted,5,load_8,load_8,300,0.116667,0.743333,0.116667,0.743333,true
exploratory,Laya,self-hosted,10,load_8,topo_10,300,0.116667,0.743333,0.116667,0.743333,
exploratory,Laya,self-hosted,20,load_8,topo_20,300,0.116667,0.743333,0.116667,0.743333,
exploratory,Laya,self-hosted,40,load_8,topo_40,300,0.116667,0.743333,0.116667,0.743333,
exploratory,Qwen3.5-4B-JSON,self-hosted,5,load_8,load_8,300,0.00333333,0.00333333,0.00333333,0.00333333,true
exploratory,Qwen3.5-4B-JSON,self-hosted,10,load_8,topo_10,300,0.00333333,0.00333333,0.00333333,0.00666667,
exploratory,Qwen3.5-4B-JSON,self-hosted,20,load_8,topo_20,300,0.00333333,0.00333333,0.00333333,0.00666667,
exploratory,Qwen3.5-4B-JSON,self-hosted,40,load_8,topo_40,300,0.00333333,0.00333333,0.00333333,0.00333333,
